epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.183,1.58735,4.73806,1.34381,0.7085,0.38012,0.51068,0.28997,1.59214,2.62377,1.5219,0.0672,0.000331313,0.000331313
2,380.953,1.43777,1.70081,1.29505,0.69178,0.6697,0.7422,0.45347,1.38424,1.48712,1.34658,0.0341934,0.000658066,0.000658066
3,560.313,1.43594,1.44916,1.29937,0.65768,0.76896,0.8289,0.49576,1.33396,1.26801,1.27273,0.00118024,0.00097822,0.00097822
4,745.7,1.40363,1.29529,1.274,0.7937,0.80948,0.8749,0.55768,1.30357,1.0648,1.2741,0.0009703,0.0009703,0.0009703
5,1000.41,1.32958,1.16454,1.24159,0.80417,0.83096,0.91159,0.5728,1.24781,0.95522,1.23586,0.0009604,0.0009604,0.0009604
6,1252.46,1.31107,1.08712,1.20471,0.79457,0.80399,0.89147,0.54863,1.30436,1.00341,1.24494,0.0009505,0.0009505,0.0009505
7,1398.02,1.30467,1.04152,1.21983,0.80861,0.89845,0.91436,0.59777,1.20803,0.8654,1.2058,0.0009406,0.0009406,0.0009406
8,1615.53,1.2839,1.01258,1.22475,0.80601,0.81873,0.89752,0.56414,1.30464,1.00277,1.24204,0.0009307,0.0009307,0.0009307
9,1882.6,1.25092,0.97554,1.20303,0.84132,0.88715,0.9193,0.59643,1.26145,0.80875,1.21749,0.0009208,0.0009208,0.0009208
10,2111.55,1.2267,0.92914,1.19018,0.90345,0.89682,0.94014,0.61047,1.22101,0.78908,1.21998,0.0009109,0.0009109,0.0009109
11,2300.63,1.24721,0.90015,1.1922,0.86322,0.93222,0.94356,0.60315,1.23767,0.75977,1.19659,0.000901,0.000901,0.000901
12,2507.08,1.20244,0.85517,1.17153,0.90159,0.87478,0.92957,0.59269,1.23698,0.79062,1.20269,0.0008911,0.0008911,0.0008911
13,2720.61,1.20065,0.8375,1.16101,0.87563,0.87792,0.94388,0.6153,1.24421,0.75545,1.2139,0.0008812,0.0008812,0.0008812
14,2962.42,1.18328,0.79569,1.15282,0.92033,0.9229,0.96155,0.62933,1.20201,0.71218,1.19889,0.0008713,0.0008713,0.0008713
15,3150.74,1.16433,0.77873,1.14509,0.87916,0.9134,0.95038,0.64551,1.12865,0.71474,1.1458,0.0008614,0.0008614,0.0008614
16,3373.06,1.17145,0.79731,1.14817,0.82377,0.9203,0.91914,0.59183,1.2045,0.70877,1.1937,0.0008515,0.0008515,0.0008515
17,3582.04,1.15911,0.78587,1.14114,0.85867,0.95947,0.95174,0.64806,1.13449,0.68419,1.16126,0.0008416,0.0008416,0.0008416
18,3790.33,1.15484,0.76311,1.14695,0.89919,0.91771,0.96325,0.63759,1.18976,0.65721,1.16936,0.0008317,0.0008317,0.0008317
19,3976.59,1.11243,0.72791,1.11821,0.89209,0.88366,0.93626,0.62576,1.17078,0.67405,1.16536,0.0008218,0.0008218,0.0008218
20,4188.12,1.13551,0.73898,1.12487,0.86345,0.9487,0.94353,0.63274,1.16986,0.64456,1.16953,0.0008119,0.0008119,0.0008119
21,4402.36,1.11571,0.73285,1.12137,0.91467,0.91993,0.95324,0.63707,1.15519,0.6313,1.16141,0.000802,0.000802,0.000802
22,4577.14,1.07967,0.70699,1.09353,0.89901,0.90057,0.95118,0.63508,1.17222,0.6299,1.16464,0.0007921,0.0007921,0.0007921
23,4818.93,1.10358,0.71404,1.11155,0.92513,0.92808,0.95902,0.6457,1.1642,0.61255,1.16748,0.0007822,0.0007822,0.0007822
24,5038.63,1.09919,0.67523,1.10234,0.91639,0.92091,0.97182,0.66204,1.13673,0.62883,1.1341,0.0007723,0.0007723,0.0007723
25,5244,1.07351,0.67498,1.09358,0.90586,0.92768,0.95763,0.63324,1.16637,0.6335,1.15899,0.0007624,0.0007624,0.0007624
26,5448.96,1.07555,0.68554,1.08936,0.91731,0.91454,0.97156,0.65238,1.15815,0.60872,1.15962,0.0007525,0.0007525,0.0007525
27,5648.66,1.08565,0.65353,1.0866,0.90766,0.94179,0.9691,0.65597,1.14614,0.60782,1.14828,0.0007426,0.0007426,0.0007426
28,5879.8,1.0617,0.65173,1.09266,0.86604,0.95783,0.9652,0.6562,1.1509,0.60315,1.1518,0.0007327,0.0007327,0.0007327
29,6104.54,1.04367,0.63111,1.08146,0.9232,0.94643,0.97136,0.66111,1.14736,0.59128,1.14726,0.0007228,0.0007228,0.0007228
30,6309.32,1.02044,0.61348,1.07203,0.91288,0.92436,0.9772,0.67186,1.11736,0.57834,1.14748,0.0007129,0.0007129,0.0007129
31,6472.03,1.00986,0.60378,1.05531,0.90667,0.91008,0.92994,0.63515,1.14207,0.63245,1.15995,0.000703,0.000703,0.000703
32,6699.32,1.02578,0.6055,1.06472,0.93825,0.932,0.97896,0.65844,1.12914,0.55438,1.13269,0.0006931,0.0006931,0.0006931
33,6901.27,1.02163,0.63793,1.06941,0.93372,0.95094,0.9824,0.67692,1.10446,0.54158,1.13012,0.0006832,0.0006832,0.0006832
34,7109.13,0.99718,0.59469,1.0618,0.92295,0.9654,0.9837,0.67114,1.13397,0.55641,1.1415,0.0006733,0.0006733,0.0006733
35,7446.01,0.99675,0.58472,1.05655,0.94951,0.95231,0.97878,0.67505,1.08942,0.53281,1.13262,0.0006634,0.0006634,0.0006634
36,7651.78,1.00484,0.58564,1.04987,0.93142,0.91874,0.95746,0.66221,1.11781,0.55259,1.13942,0.0006535,0.0006535,0.0006535
37,7831.68,0.9852,0.58697,1.06185,0.93118,0.95718,0.97142,0.67686,1.11195,0.55716,1.13998,0.0006436,0.0006436,0.0006436
38,8057.72,1.00924,0.58156,1.05606,0.90917,0.96327,0.98029,0.6895,1.07991,0.54685,1.11804,0.0006337,0.0006337,0.0006337
39,8223.7,0.99535,0.56797,1.0581,0.93878,0.93859,0.97192,0.68432,1.08652,0.52043,1.11758,0.0006238,0.0006238,0.0006238
40,8425.91,0.97766,0.572,1.05399,0.94045,0.92775,0.97052,0.66837,1.13171,0.56817,1.14318,0.0006139,0.0006139,0.0006139
41,8676.18,0.97251,0.55371,1.03824,0.905,0.9439,0.97522,0.68086,1.0741,0.55306,1.11157,0.000604,0.000604,0.000604
42,8841,0.9589,0.55047,1.03421,0.93808,0.96119,0.97905,0.68253,1.09797,0.52819,1.13297,0.0005941,0.0005941,0.0005941
43,9021.22,0.96746,0.55944,1.03873,0.95813,0.93545,0.98357,0.67259,1.1189,0.51774,1.13103,0.0005842,0.0005842,0.0005842
44,9204.47,0.95852,0.56348,1.03541,0.94659,0.96398,0.9774,0.6818,1.06903,0.51366,1.12199,0.0005743,0.0005743,0.0005743
45,9407.81,0.95763,0.53851,1.03756,0.92979,0.94134,0.97622,0.67796,1.10786,0.53452,1.13136,0.0005644,0.0005644,0.0005644
46,9604.46,0.9751,0.55283,1.0362,0.93983,0.93591,0.97327,0.67935,1.09535,0.54574,1.13431,0.0005545,0.0005545,0.0005545
47,9790.02,0.95297,0.544,1.04376,0.92656,0.95333,0.97663,0.67733,1.0888,0.54308,1.13247,0.0005446,0.0005446,0.0005446
48,10032.2,0.92583,0.53165,1.03117,0.95327,0.94244,0.9809,0.67844,1.09882,0.53232,1.12568,0.0005347,0.0005347,0.0005347
49,10203.6,0.93402,0.53633,1.02514,0.95647,0.94352,0.98158,0.70261,1.03711,0.50355,1.09019,0.0005248,0.0005248,0.0005248
50,10393.1,0.93518,0.525,1.0221,0.92914,0.95863,0.98365,0.69548,1.07266,0.50007,1.11253,0.0005149,0.0005149,0.0005149
51,10541.9,0.91685,0.51487,1.02306,0.95111,0.95982,0.98202,0.69956,1.06042,0.48823,1.09868,0.000505,0.000505,0.000505
52,10768,0.91768,0.50446,1.02246,0.95677,0.95429,0.98075,0.69067,1.08208,0.50913,1.11047,0.0004951,0.0004951,0.0004951
53,10989.8,0.92259,0.51557,1.02576,0.94579,0.94763,0.98074,0.6893,1.08159,0.50221,1.11528,0.0004852,0.0004852,0.0004852
54,11208.4,0.9098,0.51969,1.01653,0.9341,0.95412,0.97977,0.70723,1.05549,0.51612,1.11403,0.0004753,0.0004753,0.0004753
55,11362.3,0.90514,0.5108,1.00869,0.95551,0.9427,0.98314,0.68963,1.07094,0.49684,1.10966,0.0004654,0.0004654,0.0004654
56,11561.7,0.87266,0.48897,1.00303,0.94978,0.97258,0.98799,0.71003,1.0569,0.48861,1.10605,0.0004555,0.0004555,0.0004555
57,11712.9,0.8816,0.49547,1.00416,0.95527,0.97581,0.98832,0.6983,1.08309,0.50261,1.11897,0.0004456,0.0004456,0.0004456
58,11873,0.88218,0.49343,1.00143,0.97116,0.93647,0.98412,0.70415,1.05887,0.49324,1.10627,0.0004357,0.0004357,0.0004357
59,12042.8,0.88161,0.47595,1.0039,0.94529,0.96281,0.98564,0.69362,1.07627,0.47765,1.1189,0.0004258,0.0004258,0.0004258
60,12212.9,0.87043,0.47522,0.99439,0.9405,0.95327,0.97755,0.69936,1.05287,0.48069,1.10301,0.0004159,0.0004159,0.0004159
61,12426.1,0.8783,0.49058,0.99735,0.95434,0.95697,0.98605,0.69549,1.05902,0.47886,1.10597,0.000406,0.000406,0.000406
62,12620.9,0.87046,0.4839,0.99994,0.94919,0.96365,0.98354,0.69968,1.07009,0.4713,1.11877,0.0003961,0.0003961,0.0003961
63,12783.8,0.8636,0.47959,1.00044,0.95412,0.94716,0.98245,0.68749,1.06847,0.48193,1.11308,0.0003862,0.0003862,0.0003862
64,12990.9,0.83591,0.45907,0.98578,0.9503,0.97138,0.98381,0.70698,1.05528,0.47083,1.10976,0.0003763,0.0003763,0.0003763
65,13189.4,0.86643,0.47006,1.00303,0.96,0.95286,0.98156,0.69303,1.08292,0.46336,1.13317,0.0003664,0.0003664,0.0003664
66,13394.8,0.8323,0.4584,0.99012,0.97295,0.96418,0.98588,0.70867,1.04067,0.46093,1.09666,0.0003565,0.0003565,0.0003565
67,13585.6,0.82839,0.44895,0.9778,0.97155,0.9642,0.98498,0.71213,1.05209,0.4551,1.10317,0.0003466,0.0003466,0.0003466
68,13777.1,0.8224,0.43631,0.97381,0.94579,0.96581,0.98378,0.71151,1.0339,0.46349,1.09146,0.0003367,0.0003367,0.0003367
69,13973.8,0.82495,0.4594,0.97798,0.95173,0.97876,0.98662,0.71449,1.04386,0.4484,1.10535,0.0003268,0.0003268,0.0003268
70,14249.7,0.82363,0.45843,0.98189,0.96417,0.95882,0.98478,0.70847,1.06121,0.44492,1.11502,0.0003169,0.0003169,0.0003169
71,14509.2,0.81928,0.44114,0.98124,0.96746,0.97454,0.98631,0.71579,1.03966,0.43575,1.10196,0.000307,0.000307,0.000307
72,14719.2,0.80912,0.4293,0.98407,0.96345,0.96302,0.98417,0.70031,1.057,0.4567,1.10969,0.0002971,0.0002971,0.0002971
73,14859,0.79136,0.42258,0.96981,0.9576,0.97187,0.98376,0.70965,1.04043,0.44911,1.10085,0.0002872,0.0002872,0.0002872
74,15025.5,0.80354,0.42772,0.97517,0.96557,0.96497,0.98821,0.70234,1.07418,0.45015,1.12088,0.0002773,0.0002773,0.0002773
75,15143.9,0.81726,0.44098,0.97379,0.96692,0.96381,0.98547,0.70026,1.05193,0.45325,1.10686,0.0002674,0.0002674,0.0002674
76,15345.9,0.79492,0.42445,0.97065,0.97426,0.97121,0.98848,0.71206,1.04121,0.44823,1.09988,0.0002575,0.0002575,0.0002575
77,15529.8,0.81087,0.44325,0.97569,0.95203,0.98126,0.98405,0.70398,1.0458,0.46451,1.10484,0.0002476,0.0002476,0.0002476
78,15809.2,0.79327,0.4193,0.96724,0.96342,0.96069,0.98668,0.70556,1.05884,0.44475,1.11028,0.0002377,0.0002377,0.0002377
79,16062.8,0.79368,0.42097,0.97215,0.97504,0.97274,0.98424,0.71534,1.0419,0.44326,1.1055,0.0002278,0.0002278,0.0002278
80,16288.8,0.7851,0.42272,0.95799,0.96384,0.98159,0.98395,0.70771,1.05324,0.45262,1.11014,0.0002179,0.0002179,0.0002179
81,16500.2,0.79316,0.41324,0.96599,0.97622,0.98106,0.985,0.71345,1.05133,0.43037,1.11177,0.000208,0.000208,0.000208
82,16744.1,0.76679,0.4124,0.95992,0.97109,0.97847,0.98546,0.71443,1.047,0.43419,1.10737,0.0001981,0.0001981,0.0001981
83,16883.9,0.77005,0.41042,0.96452,0.96804,0.97695,0.98665,0.70836,1.05378,0.4383,1.11778,0.0001882,0.0001882,0.0001882
84,17049.5,0.76813,0.4094,0.95053,0.97709,0.96767,0.98489,0.71396,1.04611,0.43762,1.11626,0.0001783,0.0001783,0.0001783
85,17244.9,0.75243,0.40248,0.95599,0.98434,0.9701,0.98506,0.71376,1.04268,0.43614,1.10874,0.0001684,0.0001684,0.0001684
86,17429.1,0.7663,0.41674,0.95405,0.98202,0.96922,0.98444,0.72096,1.04542,0.43811,1.1115,0.0001585,0.0001585,0.0001585
87,17533,0.74702,0.39657,0.95227,0.97761,0.96714,0.98441,0.71156,1.03987,0.44896,1.10922,0.0001486,0.0001486,0.0001486
88,17689,0.75402,0.39239,0.95516,0.98286,0.97158,0.98823,0.72364,1.04508,0.43024,1.11076,0.0001387,0.0001387,0.0001387
89,17837.8,0.74486,0.40942,0.9532,0.97604,0.97691,0.98795,0.71995,1.03472,0.43471,1.10595,0.0001288,0.0001288,0.0001288
90,17959.6,0.73593,0.3862,0.95588,0.98026,0.97797,0.98877,0.71195,1.05128,0.44084,1.11689,0.0001189,0.0001189,0.0001189
